"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8730","test_add_items_to_cart","TestCases","2026-08-24","passed","2026-08-24","","test_AddProductToCart","",""
"","8316","test_negative_add_incorrect_items","TestCases","2026-08-24","passed","2026-08-24","","test_AddProductToCart","",""
